OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Control_mean	SLE_mean
d:Archaea;p:Euryarchaeota;c:Methanobacteria	9.67070964245	0.00187228979665	0.0561686938994	0.0561686938994	0.00112096772261	0.000574538483219
d:Bacteria;Other;Other	7.85774832924	0.00506033723876	0.0759050585814	0.151810117163	0.00429158775602	0.00176247485776
d:Bacteria;p:Firmicutes;Other	6.78788612979	0.00917785227847	0.0917785227847	0.275335568354	0.0128999305525	0.00322257531428
d:Bacteria;p:Firmicutes;c:Negativicutes	5.65290230453	0.0174265068623	0.130698801468	0.52279520587	0.0245007511699	0.0403450067313
d:Bacteria;p:Bacteroidetes;Other	4.33026136373	0.037440496325	0.22464297795	1.0	0.000921068738534	0.00051132894498
d:Bacteria;p:Firmicutes;c:Bacilli	3.02308597837	0.082087126575	0.410435632875	1.0	0.00385327885811	0.0105461453877
d:Bacteria;p:Firmicutes;c:Clostridia	2.38583449599	0.12243949429	0.418451025919	1.0	0.458821906051	0.392099354981
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia	2.00522287787	0.156758252996	0.418451025919	1.0	1.18656656588e-06	1.33617742196e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria	1.91234304151	0.166703221949	0.418451025919	1.0	0.0184893276883	0.0496024825948
d:Bacteria;p:Bacteroidetes;c:Cytophagia	1.90625	0.167380410368	0.418451025919	1.0	7.85081196237e-07	0.0
d:Bacteria;p:Parcubacteria;Other	1.90625	0.167380410368	0.418451025919	1.0	1.25612991398e-06	0.0
d:Bacteria;p:Spirochaetes;c:Spirochaetia	1.90625	0.167380410368	0.418451025919	1.0	6.82128240109e-07	0.0
d:Bacteria;p:Verrucomicrobia;c:Verrucomicrobiae	1.47988942593	0.223791823442	0.516442669481	1.0	0.0140159014512	0.053815044929
d:Bacteria;p:Cyanobacteria/Chloroplast;c:Chloroplast	1.22335994082	0.268702268772	0.535788862347	1.0	3.84480508359e-05	7.43138873816e-05
d:Bacteria;p:Firmicutes;c:Erysipelotrichia	1.19190355773	0.274945922178	0.535788862347	1.0	0.0144282153784	0.0100600611677
d:Bacteria;p:Bacteroidetes;c:Bacteroidia	1.13951866062	0.285754059918	0.535788862347	1.0	0.406777256933	0.354843991868
d:Bacteria;p:Fusobacteria;c:Fusobacteriia	0.908691728417	0.3404617801	0.600814906058	1.0	0.00203107637687	0.0179304693869
d:Bacteria;p:Lentisphaerae;c:Lentisphaeria	0.719195979822	0.396407769028	0.639395713065	1.0	6.18493604179e-06	2.73635599059e-05
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia	0.68742471645	0.407041713784	0.639395713065	1.0	3.07592392819e-06	6.4937079911e-06
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria	0.621796669963	0.430380414794	0.639395713065	1.0	0.00262561258889	0.00372576746226
d:Bacteria;p:Actinobacteria;Other	0.524590163934	0.468890189581	0.639395713065	1.0	0.0	4.56252916725e-05
d:Bacteria;p:Gemmatimonadetes;c:Gemmatimonadetes	0.524590163934	0.468890189581	0.639395713065	1.0	0.0	2.3958264703e-06
d:Bacteria;p:Verrucomicrobia;c:Opitutae	0.414927098468	0.519479239135	0.677581616263	1.0	4.88384406723e-06	6.44445007952e-06
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria	0.320744062818	0.57116083323	0.694404987153	1.0	0.011886379718	0.0297401711934
d:Bacteria;p:Proteobacteria;c:Deltaproteobacteria	0.308388388049	0.578670822627	0.694404987153	1.0	0.00503570157027	0.00843553546384
d:Bacteria;p:Tenericutes;c:Mollicutes	0.233038578047	0.629279864739	0.726092151622	1.0	0.000251680004104	4.47370445992e-07
d:Bacteria;p:Synergistetes;c:Synergistia	0.103633581458	0.747512012728	0.830568903031	1.0	6.94010956673e-05	0.000189639689426
d:Bacteria;p:Proteobacteria;c:Betaproteobacteria	0.0477188615907	0.82708125946	0.886158492279	1.0	0.0179116198196	0.0223613669273
d:Bacteria;p:Proteobacteria;Other	0.00157053788072	0.968388099814	0.970098611679	1.0	9.1538431495e-07	6.84067916703e-07
d:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria	0.00140509591961	0.970098611679	0.970098611679	1.0	1.09184824491e-05	5.69146805006e-05
