OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Control_mean	SLE_mean
d:Archaea;p:Euryarchaeota	9.67070964245	0.00187228979665	0.0280843469497	0.0280843469497	0.00112096772261	0.000574538483219
d:Bacteria;Other	7.85774832924	0.00506033723876	0.0379525292907	0.0759050585814	0.00429158775602	0.00176247485776
d:Bacteria;p:Proteobacteria	3.36996424834	0.066395196109	0.331975980545	0.995927941635	0.0374711475636	0.0643204397953
d:Bacteria;p:Actinobacteria	1.91234304151	0.166703221949	0.40749579605	1.0	0.0184893276883	0.0496481078864
d:Bacteria;p:Parcubacteria	1.90625	0.167380410368	0.40749579605	1.0	1.25612991398e-06	0.0
d:Bacteria;p:Spirochaetes	1.90625	0.167380410368	0.40749579605	1.0	6.82128240109e-07	0.0
d:Bacteria;p:Firmicutes	1.71634112313	0.190164704824	0.40749579605	1.0	0.51450408201	0.456273143582
d:Bacteria;p:Cyanobacteria/Chloroplast	1.22335994082	0.268702268772	0.440259898936	1.0	3.84480508359e-05	7.43138873816e-05
d:Bacteria;p:Bacteroidetes	1.12231862574	0.289419741127	0.440259898936	1.0	0.407703373243	0.355375176295
d:Bacteria;p:Verrucomicrobia	1.10346654518	0.293506599291	0.440259898936	1.0	0.0140207852952	0.0538214893791
d:Bacteria;p:Fusobacteria	0.908691728417	0.3404617801	0.464266063772	1.0	0.00203107637687	0.0179304693869
d:Bacteria;p:Lentisphaerae	0.719195979822	0.396407769028	0.495509711285	1.0	6.18493604179e-06	2.73635599059e-05
d:Bacteria;p:Gemmatimonadetes	0.524590163934	0.468890189581	0.541027141824	1.0	0.0	2.3958264703e-06
d:Bacteria;p:Tenericutes	0.233038578047	0.629279864739	0.674228426506	1.0	0.000251680004104	4.47370445992e-07
d:Bacteria;p:Synergistetes	0.103633581458	0.747512012728	0.747512012728	1.0	6.94010956673e-05	0.000189639689426
