OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Control_mean	SLE_mean
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;g:Anaerosporobacter	13.970037027	0.00018574733557	0.0445793605367	0.0445793605367	0.000307108751778	1.98670471076e-05
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Odoribacter	12.2711320494	0.000460019129966	0.0552022955959	0.110404591192	0.00144288749669	0.000622766648428
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Eggerthella	11.3943134596	0.000736692699854	0.0589354159883	0.176806247965	0.000181985609074	0.000673516761494
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Atopobium	9.20294749614	0.0024162575937	0.144975455622	0.579901822489	1.65466113598e-06	1.58906889564e-05
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;Other;Other	8.21168965885	0.00416213759798	0.173497276757	0.998913023516	0.00254665051257	0.000945761929116
d:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanobacteriaceae;g:Methanobrevibacter	7.90603397898	0.00492701710383	0.173497276757	1.0	0.00111560715534	0.000574538483219
d:Bacteria;Other;Other;Other;Other;Other	7.85774832924	0.00506033723876	0.173497276757	1.0	0.00429158775602	0.00176247485776
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Ruminococcaceae;g:Faecalibacterium	7.51581731847	0.00611595282003	0.183478584601	1.0	0.0885066411189	0.0441574665768
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;g:Coprococcus	7.27181779218	0.00700448779157	0.186786341108	1.0	0.00626736886085	0.00423708764703
d:Bacteria;p:Firmicutes;Other;Other;Other;Other	6.78788612979	0.00917785227847	0.220268454683	1.0	0.0128999305525	0.00322257531428
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;g:Roseburia	6.4498005945	0.0110964795801	0.24210500902	1.0	0.0174976655631	0.00969399464267
d:Bacteria;p:Firmicutes;c:Negativicutes;o:Selenomonadales;f:Veillonellaceae;g:Selenomonas	6.05662004691	0.01385425952	0.250088122377	1.0	4.15138982923e-06	6.19188816449e-06
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Alteromonadales;f:Shewanellaceae;g:Shewanella	6.00909638863	0.0142323139229	0.250088122377	1.0	1.71341350391e-06	8.30439491724e-06
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Ruminococcaceae;g:Hydrogenoanaerobacterium	5.92874842197	0.0148958177131	0.250088122377	1.0	9.03157375647e-06	5.23322692613e-06
