#OTU ID	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s1624	s10832	s10852	s11287	s11367	s12389	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiales_Incertae_Sedis_XIII;g:Anaerovorax	0.0	0.0	0.0	7.82301217261e-06	1.63337307874e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.70249239446e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiales_Incertae_Sedis_XIII;g:Mogibacterium	0.0	0.0	4.31900144687e-06	0.00290233751604	0.0	0.00271154776625	0.0	0.000529331514325	0.00252008780736	0.0021924899831	0.000372310059818	0.0	0.000176349070388	4.63195275408e-05	0.0	0.0	0.0	0.0	0.00465357767821	0.0	0.0	1.15360877666e-05	3.22729864346e-05	6.33010751055e-05	1.07913280887e-05	4.46075096743e-05	0.0	0.0	0.0	1.0157440325e-05	0.0	0.0	0.0	0.0	0.0	1.24691388813e-05	0.0	0.00227503515076	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.23395853899e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.8630126778e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00149077520311	0.0	0.00406206433106	0.0	0.0	0.0	1.1996305138e-05	0.0	0.0	0.0	0.0	3.35980109977e-05	0.0	0.0	0.0	0.0	0.0	0.0	8.64902266044e-05	0.0	0.0	0.0	0.0
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Eubacteriaceae;g:Anaerofustis	4.01961572474e-05	0.0	8.63800289373e-05	0.0	8.16686539372e-05	0.0	0.0	3.81991814461e-05	0.0	0.0	0.0	9.05405269459e-05	0.000142758771267	0.0	0.0	6.05198656459e-06	0.0	0.0	0.0	0.0	0.0	0.0	3.22729864346e-05	3.54486020591e-05	7.55392966212e-05	0.0	8.08095319332e-05	0.0	0.0	0.0	6.67052074532e-05	1.95283893961e-05	0.0	1.15129117305e-05	0.0	1.24691388813e-05	0.0	0.0	0.0	0.0	0.0	8.59639906395e-05	0.0	0.0	0.0	0.0	0.0	1.85730338122e-05	0.000135159488196	0.0	0.0	2.01495093594e-05	9.44260313683e-06	5.28708892884e-05	1.00475247923e-05	0.0	0.0	0.0	3.70569379852e-05	0.0	0.0	0.0	0.0	0.0	8.55578370979e-06	0.0	0.0	0.000160530821918	9.47292637642e-06	9.62399068398e-06	0.0	0.0	4.0119153887e-05	0.0	0.0	0.0	4.79852205521e-05	0.0	0.0	0.0	0.0	0.000212787402986	0.000350705795413	0.0	0.0	8.07950230266e-05	0.0	1.08484578917e-05	8.64902266044e-05	0.0	0.0	0.0	0.0
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Eubacteriaceae;g:Eubacterium	0.00251225982796	0.00630642417899	0.000470771157708	0.0302202960228	0.00574947323718	0.0120826837267	0.00551711288344	0.00025102319236	0.00286165342753	0.000638245062465	0.00593214028643	0.0112974457511	0.00221695974203	0.00661597251708	0.0030298729428	0.00150694465458	0.00350176535278	0.0024833533457	0.0119608484126	0.0143989583732	0.00455486542443	0.00169580490168	0.0054433770453	0.00985471137242	0.00134891601109	0.000457226974161	0.0116365725984	0.0122086771071	0.000256973988522	0.0235551041138	0.00143416196024	0.00155250695699	0.00582186760487	0.0025673793159	0.000733737490377	0.00601012494077	0.0101878598709	0.0149000156226	0.00219425956739	0.00479128092175	0.00140759493671	0.0140121304742	0.013577875723	0.0189573459716	0.000618544554844	0.0017152023692	0.0674945877719	0.000594337081991	4.5053162732e-05	0.000233546219695	0.0141069046886	0.00252876342461	0.00788457361926	0.000169186845723	0.0076662614165	0.0267342319264	0.000354327221189	0.000562834471305	0.00158418409887	6.68511759122e-05	0.029311672001	0.0	0.00307651959894	0.00654508163758	0.043779945243	0.0	0.00514220923362	0.0109606877854	0.00013262096927	0.00065443136651	0.00267138912234	0.022785770097	0.0248136966791	0.00921326318365	0.00038737168313	0.00161511966163	0.00551830036349	0.00139305439468	0.000604331635872	0.00167581418856	0.0669018468562	0.00311341568579	0.00467190220318	0.00753158172823	0.0211900615474	0.0172439663431	0.0	0.00050987752091	0.00162601626016	0.0363446609052	0.0	0.00142912823178	0.00721179340333
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;Other	0.0617764691695	0.117964150203	0.177437536442	0.122070281941	0.0675563105369	0.0366008547928	0.0652582329712	0.0780736698499	0.0745446138851	0.0888874443013	0.118481471369	0.0364978924177	0.0316756520717	0.0367931447099	0.0199132382616	0.145695524556	0.0485037911674	0.0646927191355	0.043651327808	0.212269750699	0.00979174278407	0.0944632546764	0.119947932915	0.0820457894657	0.0133920381581	0.219245910049	0.0911800885313	0.0924371266684	0.0542215115781	0.019593702387	0.00912749588651	0.097622418591	0.0124500010471	0.169354931556	0.035592282525	0.0521085313848	0.0822298908513	0.098246367755	0.0717554076539	0.0323455338417	0.0378025316456	0.0395625388032	0.0488048582816	0.0539652448657	0.0308094097318	0.0327615992103	0.0533329165071	0.0134933090646	0.0204691536012	0.00441941308038	0.0577870113881	0.103971468295	0.0538417230862	0.00524479221741	0.187516955198	0.01728875765	0.0528045983799	0.0311496586086	0.090252172463	0.0179829663204	0.0209658469392	0.0308370545885	0.0609856967056	0.0374909515	0.0820242984257	0.0287893647161	0.069994730034	0.0496842893836	0.0537778030389	0.0560693697249	0.0526173610277	0.0906834581974	0.0864567766266	0.00371956441943	0.00303441151785	0.00752235289918	0.0390599695294	0.0316633069472	0.0501506385475	0.0380205885743	0.0244552811787	0.136183937911	0.0761282080186	0.0137278447572	0.0754145528886	0.0599499070857	0.0201386596236	0.0341400969852	0.0202733091161	0.0949721693277	9.12134120201e-06	0.0376470353085	0.0377691165553
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;g:Anaerosporobacter	2.00980786237e-05	0.0	0.000401667134558	1.56460243452e-05	8.16686539372e-05	0.000467044782539	1.03510560665e-05	0.00159890859482	4.16543439233e-06	3.54580590258e-05	0.00472833775969	3.01801756486e-05	0.0	0.0	1.85124619723e-05	1.81559596938e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	8.97883688147e-06	0.0	0.0	0.0	0.00010005781118	0.000146462920471	0.0	0.0	0.0	0.0	9.69349178961e-06	1.9528198719e-05	0.0	0.0	0.0	0.0	0.0	0.0	9.81816753721e-05	0.000456564659427	0.0	0.0	0.0	0.0	0.0	0.0	4.72130156842e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.000675825616817	0.0	0.0	0.0	0.0	7.13470319635e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.00174709657188	3.75756209371e-05	0.0	0.0	0.0	0.0	0.0	0.0	1.8309652849e-05	0.0	0.0	0.000172340651183
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;g:Anaerostipes	0.0171888817429	0.0553709276462	0.0496080506187	0.00746315361267	0.0105189226271	0.00142801462287	0.00126282884011	0.011863574352	0.0341857200578	0.050799579231	0.0264091935764	0.111656589841	0.0714213735073	0.0426911645501	0.000623252886401	0.0877538051866	0.00117207848585	0.00708437943456	0.0600061534911	0.010875808984	2.43575691146e-05	0.0140048105486	0.0463224931958	0.000182307096304	0.189301477333	0.0248686866434	0.064764350426	0.00568412871976	0.000342631984696	0.00212290502793	0.00324632009606	0.00445247278231	0.000178006743314	0.00316605072589	0.00645929561201	0.0023317289708	0.00289835404509	0.00019528198719	0.00148710482529	0.0414717832165	0.0164253164557	0.00337169874397	0.0100252017808	0.00088467614534	0.0154832502062	0.00684846989141	0.000953490007894	0.00375175283007	0.0204841713222	0.000269476407341	0.00410382681851	0.00328437002559	0.00217179872147	0.00340488527017	0.000894229706512	0.00046575316945	0.00269682385016	0.00704004428861	0.00112097237405	0.000187183292554	0.000577320422963	0.00901075366809	0.00572938731869	0.00487613608944	0.00289185489391	0.00410809632778	0.001644868171	0.00950699200913	0.00282293206017	0.00459064355626	0.00543282506904	0.00396424139357	0.00116345546272	0.00353603328031	0.000129123894377	0.000562168722003	0.0048585035809	0.000344166379861	0.00105758036278	0.0163502717656	0.0268831707823	0.000929544970938	0.0287578752239	7.68528747778e-05	0.0011790284373	0.000357806530546	0.00115549686365	0.0	0.00665974744854	0.00552951516039	0.000346610965676	0.000659597645436	0.00198854597518
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;g:Blautia	0.143821850631	0.271621091195	0.240296283499	0.151617798917	0.0551263414076	0.0170723348207	0.0852875264599	0.0445020463847	0.121668173165	0.0923446050563	0.0894536970389	0.0967174028953	0.284560219009	0.0366001466785	0.0393636649738	0.241105092747	0.0440904092146	0.0565276716516	0.326192719651	0.012216137556	0.062063086104	0.170711026769	0.146799057629	0.0839195012888	0.0611976215913	0.150093118176	0.131926050299	0.0200435572344	0.0100790908831	0.0303809040122	0.0129630453151	0.0501586681638	0.00182195137275	0.0122957897282	0.00858833718245	0.0388288984763	0.0263178302088	0.0169016559913	0.0397150582363	0.10617162614	0.0315037974684	0.012340608434	0.0119125598126	0.0384834123223	0.0229450575345	0.011549851925	0.0219537166572	0.0199567248312	0.15583888989	0.00309897868442	0.0277777777778	0.0516028934695	0.0347393369404	0.18440308766	0.0378389783677	0.0156586215569	0.0314071711893	0.0571415390293	0.0228270737989	0.027850199885	0.00981444719037	0.0550100246059	0.0228469406282	0.0248532132229	0.0245807665982	0.000130761686826	0.0380236030598	0.040979951484	0.0133662991171	0.0211727795047	0.0222315604114	0.0421243737648	0.0543614535169	0.00672947510094	0.00290528762347	0.00404226081059	0.0284912247028	0.0261402559942	0.0132330853796	0.0332414147773	0.0861070761569	0.0469140226899	0.0685128821754	0.00506268312599	0.00936732685048	0.0214683918328	0.157324435221	0.0137341476909	0.0201868188895	0.0255602753772	0.0102888728759	0.00802510468614	0.0152852900626
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;g:Butyrivibrio	0.0	0.0	0.0	7.82301217261e-05	0.00096369011646	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Lachnospiraceae;g:Catonella	5.02451965592e-06	0.0	0.0	0.0	0.0	3.36003440675e-06	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	3.84593196546e-05	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
