OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Control_mean	SLE_mean
d:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanobacteriaceae	9.67070964245	0.00187228979665	0.165304349799	0.183484400071	0.00112096772261	0.000574538483219
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;Other	8.21168965885	0.00416213759798	0.165304349799	0.407889484602	0.00254665051257	0.000945761929116
d:Bacteria;Other;Other;Other;Other	7.85774832924	0.00506033723876	0.165304349799	0.495913049398	0.00429158775602	0.00176247485776
d:Bacteria;p:Firmicutes;Other;Other;Other	6.78788612979	0.00917785227847	0.224857380823	0.89942952329	0.0128999305525	0.00322257531428
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Alteromonadales;f:Shewanellaceae	6.00909638863	0.0142323139229	0.278953352888	1.0	1.71341350391e-06	8.30439491724e-06
d:Bacteria;p:Firmicutes;c:Clostridia;Other;Other	5.17340581234	0.0229352075717	0.32853241401	1.0	0.000329591637798	0.000127298707772
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Actinomycetaceae	5.13362996364	0.0234666010007	0.32853241401	1.0	8.30812188493e-05	0.000209654727117
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Peptococcaceae_1	4.76691591091	0.0290117523762	0.355393966608	1.0	0.000207295861957	8.45647323122e-06
d:Bacteria;p:Bacteroidetes;Other;Other;Other	4.33026136373	0.037440496325	0.397961551008	1.0	0.000921068738534	0.00051132894498
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Oceanospirillales;f:Halomonadaceae	4.19228528011	0.0406083215314	0.397961551008	1.0	8.18633479206e-06	2.00109622603e-05
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Ruminococcaceae	4.0223229857	0.044901826919	0.400034458006	1.0	0.187378907179	0.140843525551
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;Other	3.34173442006	0.0675433771337	0.532064490091	1.0	0.0295547433523	0.0175974071273
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Clostridiales_Incertae_Sedis_XIII	3.17793799635	0.0746388650142	0.532064490091	1.0	0.000570248628978	0.000224903240735
d:Bacteria;p:Proteobacteria;c:Betaproteobacteria;Other;Other	3.11915981921	0.0773766701672	0.532064490091	1.0	0.000863868596127	1.51714356198e-05
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Aerococcaceae	2.99111334568	0.0837225883313	0.532064490091	1.0	6.28064956991e-07	1.10084332786e-05
d:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfovibrionales;Other	2.93148284737	0.0868676718517	0.532064490091	1.0	9.42717418316e-05	0.000129624558631
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae	2.69504272759	0.100660790575	0.580279851547	1.0	0.00317773754963	0.008417080192
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae	2.48746062321	0.114756748309	0.585831436287	1.0	0.0144432079535	0.0395092514492
d:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Burkholderiales;f:Burkholderiaceae	2.47025876934	0.116018822469	0.585831436287	1.0	7.00519920457e-06	1.87033191182e-06
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Sphingobacteriaceae	2.16778239199	0.140929332757	0.585831436287	1.0	0.0	1.06650049633e-05
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillales_Incertae_Sedis_XI	2.13513587853	0.143957705547	0.585831436287	1.0	2.52767943364e-05	1.03587367484e-05
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pasteurellales;f:Pasteurellaceae	1.95559169817	0.161985564117	0.585831436287	1.0	0.00067280709662	0.000509519126015
d:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Cytophagaceae	1.90625	0.167380410368	0.585831436287	1.0	7.85081196237e-07	0.0
