OTU	Test-Statistic	P	FDR_P	Bonferroni_P	Control_mean	SLE_mean
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;Other	0.524590163934	0.468890189581	0.610647688757	1.0	0.0	7.05420468516e-07
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Aeromonadales	0.524590163934	0.468890189581	0.610647688757	1.0	0.0	1.3755699136e-05
d:Bacteria;p:Tenericutes;c:Mollicutes;o:Mycoplasmatales	0.524590163934	0.468890189581	0.610647688757	1.0	0.0	4.47370445992e-07
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Pseudomonadales	0.339362457047	0.560197455133	0.704468827546	1.0	0.000116577184872	0.000627905101963
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;Other	0.319642657699	0.571822473745	0.704468827546	1.0	0.0021230225253	0.000781399641198
d:Bacteria;p:Proteobacteria;c:Deltaproteobacteria;o:Desulfovibrionales	0.308388388049	0.578670822627	0.704468827546	1.0	0.00503570157027	0.00843528641043
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Cardiobacteriales	0.233038578047	0.629279864739	0.74978026437	1.0	2.32693787386e-06	4.15089017085e-08
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Sphingomonadales	0.19020992996	0.662741952065	0.773198944076	1.0	4.30033750203e-06	3.91685400514e-06
d:Bacteria;p:Proteobacteria;c:Betaproteobacteria;o:Hydrogenophilales	0.152951443185	0.695730659975	0.789359692358	1.0	4.08870862228e-06	5.78875905699e-06
d:Bacteria;p:Actinobacteria;c:Actinobacteria;Other	0.143541419055	0.704785439606	0.789359692358	1.0	1.19545557298e-05	1.69793316627e-05
d:Bacteria;p:Synergistetes;c:Synergistia;o:Synergistales	0.103633581458	0.747512012728	0.820797504172	1.0	6.94010956673e-05	0.000189639689426
d:Bacteria;p:Proteobacteria;Other;Other	0.00157053788072	0.968388099814	0.987736768255	1.0	9.1538431495e-07	6.84067916703e-07
d:Bacteria;p:Proteobacteria;c:Alphaproteobacteria;o:Rhizobiales	0.00157053788072	0.968388099814	0.987736768255	1.0	2.66927606721e-06	7.31724035053e-06
d:Bacteria;p:Verrucomicrobia;c:Opitutae;o:Puniceicoccales	0.00157053788072	0.968388099814	0.987736768255	1.0	4.25383761597e-06	6.44445007952e-06
d:Bacteria;p:Proteobacteria;c:Epsilonproteobacteria;o:Campylobacterales	0.00140509591961	0.970098611679	0.987736768255	1.0	1.09184824491e-05	5.69146805006e-05
d:Bacteria;p:Proteobacteria;c:Gammaproteobacteria;o:Chromatiales	nan	nan	1.0	nan	0.0	0.0
