# Constructed from biom file
#OTU ID	Control	SLE
d:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanobacteriaceae	0.00110302756573	0.000539060517938
d:Bacteria;Other;Other;Other;Other	0.00384229343602	0.00169237688091
d:Bacteria;p:Actinobacteria;Other;Other;Other	0.0	3.72763159945e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;Other;Other	1.85722064508e-05	2.10482646349e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;Other	5.65241065894e-06	1.78347891181e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Actinomycetaceae	9.47451691403e-05	0.000213696121865
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Corynebacteriaceae	4.84492342195e-06	1.10864905329e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Geodermatophilaceae	0.0	1.28539020671e-06
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Microbacteriaceae	0.0	1.76741153422e-06
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Micrococcaceae	5.70624314141e-05	4.54706785623e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae	0.0136987518131	0.0363445687685
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae	0.00474910160316	0.0104907121721
d:Bacteria;p:Bacteroidetes;Other;Other;Other	0.0010150114569	0.00050387296103
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;Other	0.00237455080158	0.000919214671572
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Bacteroidaceae	0.226124419248	0.250591801685
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae	0.011884597154	0.0149359128544
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Prevotellaceae	0.119479041534	0.0616323716526
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Rikenellaceae	0.0175047083235	0.0163210814759
