# Constructed from biom file
#OTU ID	Middle age	Older adults	Young adult
d:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanobacteriaceae	0.000853085149275	0.000863547698657	0.000456450065085
d:Bacteria;Other;Other;Other;Other	0.00266517780959	0.0023435790405	0.00223398291638
d:Bacteria;p:Actinobacteria;Other;Other;Other	4.13703500484e-05	0.0	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;Other;Other	1.48005993708e-05	4.58833245881e-05	1.48222752192e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;Other	5.88457565344e-06	2.47064055474e-05	2.16633253204e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Actinomycetaceae	0.000134810278606	0.000294712123316	0.000161524794056
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Corynebacteriaceae	1.78320474347e-06	2.23534145429e-05	1.48222752192e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Geodermatophilaceae	0.0	4.70598200903e-06	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Microbacteriaceae	1.06992284608e-06	2.94123875564e-06	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Micrococcaceae	2.33599821394e-05	0.00010941408171	6.7650384334e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae	0.0275159191145	0.00976138318223	0.0403602953053
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae	0.00789406907886	0.0146391335346	0.00523758396914
d:Bacteria;p:Bacteroidetes;Other;Other;Other	0.00117638016927	4.94128110948e-05	8.58931846038e-05
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;Other	0.00176733422125	0.00132061620128	0.000907199255086
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Bacteroidaceae	0.264526119581	0.111891781238	0.275957319449
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae	0.0154455845265	0.0100343301388	0.0127080106796
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Prevotellaceae	0.0986818372216	0.0318306740613	0.0836021929366
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Rikenellaceae	0.0195441023089	0.013418519451	0.0129983752506
d:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Cytophagaceae	0.0	2.94123875564e-06	0.0
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae	7.13281897387e-07	1.3529698276e-05	4.56070006746e-06
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Chitinophagaceae	1.96152521781e-06	4.70598200903e-06	3.04046671164e-06
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Sphingobacteriaceae	1.78320474347e-07	1.8235680285e-05	1.14017501687e-06
d:Bacteria;p:Cyanobacteria/Chloroplast;c:Chloroplast;f:Chloroplast;g:Streptophyta	3.74472996128e-05	9.64726311851e-05	5.39682841316e-05
d:Bacteria;p:Firmicutes;Other;Other;Other	0.00623622362885	0.00621954347269	0.00348437485154
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae_1	8.91602371734e-07	8.11781896558e-05	1.90029169478e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillales_Incertae_Sedis_XI	1.3374035576e-05	3.05888830587e-05	8.36128345701e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Paenibacillaceae_1	4.27969138432e-06	7.64722076468e-06	0.0
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Staphylococcaceae	2.85312758955e-06	2.70593965519e-05	8.36128345701e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;Other	1.3374035576e-05	2.47064055474e-05	1.48222752192e-05
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Aerococcaceae	8.91602371734e-07	2.17651667918e-05	2.28035003373e-06
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Carnobacteriaceae	3.56640948693e-07	1.17649550226e-05	3.80058338955e-07
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Enterococcaceae	0.00055011866336	0.000529422976016	0.000117438026737
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Lactobacillaceae	0.0012414671424	0.00237299142805	0.000363335772041
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Leuconostocaceae	8.20274181995e-06	3.23536263121e-05	1.82428002698e-05
d:Bacteria;p:Firmicutes;c:Bacilli;o:Lactobacillales;f:Streptococcaceae	0.00900233082692	0.0075807487688	0.00476707174551
d:Bacteria;p:Firmicutes;c:Clostridia;Other;Other	0.000134275317183	0.000295300371067	0.000277442587437
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;Other	0.0197056606586	0.0431809144194	0.0198439860519
d:Bacteria;p:Firmicutes;c:Clostridia;o:Clostridiales;f:Catabacteriaceae	1.99718931268e-05	6.47072526242e-06	5.70087508433e-06
