# Constructed from biom file
#OTU ID	Middle age	Older adults	Young adult
d:Archaea;p:Euryarchaeota	0.000853085149275	0.000863547698657	0.000456450065085
d:Bacteria;Other	0.00266517780959	0.0023435790405	0.00223398291638
d:Bacteria;p:Actinobacteria	0.0356330671068	0.0249052332873	0.0458783623286
d:Bacteria;p:Bacteroidetes	0.401144211156	0.168584746501	0.386267732097
d:Bacteria;p:Cyanobacteria/Chloroplast	3.74472996128e-05	9.64726311851e-05	5.39682841316e-05
d:Bacteria;p:Firmicutes	0.461891755549	0.677372579655	0.474303305557
d:Bacteria;p:Fusobacteria	0.00786821261008	0.0120537846684	0.000101475576501
d:Bacteria;p:Gemmatimonadetes	0.0	3.52948650677e-06	0.0
d:Bacteria;p:Lentisphaerae	8.91602371734e-06	0.0	5.58685758264e-05
d:Bacteria;p:Parcubacteria	0.0	4.70598200903e-06	0.0
d:Bacteria;p:Proteobacteria	0.0441132755848	0.0744086345358	0.0447522494703
d:Bacteria;p:Spirochaetes	0.0	0.0	1.52023335582e-06
d:Bacteria;p:Synergistetes	0.000162093311181	2.82358920542e-05	0.000106796393246
d:Bacteria;p:Tenericutes	5.59926289449e-05	0.0	1.90029169478e-06
d:Bacteria;p:Verrucomicrobia	0.0455667657712	0.0393349506225	0.0457863882106
