	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_1526_0.txt	1526	0	0.0594406435245	0.0683066257393	0.0559846024093	0.0333588700188	0.0517298241576	0.123002942445	0.121736128169	0.0784883770864	0.0435947293655	0.0298392734756	0.0324209980263	0.146909230825	0.0774139468093	0.0705370777214	0.0816481124897	0.0588128189581	0.051195615019	0.106093763151	0.0678385486001	0.0881719912946	0.214360434857	0.045214533924	0.0500181218856	0.0618265486482	0.101670648901	0.143509015423	0.0826529753388	0.364062669087	0.0909727244151	0.129969132675	0.175855292879	0.196083096146	0.118282663625	0.129976862389	0.381317108949	0.13408477607	0.0516430795869	0.0804328296423	0.100365186054	0.0727623765608	0.196973730996	0.0798745725039	0.131204169236	0.104140722024	0.0770661096692	0.11547420079	0.0411401156709	0.0700870365822	0.0857860861709	0.322955189988	0.0726395599903	0.0882467118655	0.0450831287822	0.190767629331	0.0300582820452	0.119443838473	0.178268681431	0.079730284505	0.0637787309183	0.270857774976	0.321832663711	0.146037490832	0.150924387935	0.139492140598	0.121611593884	0.152444565066	0.0447919762131	0.0474990939057	0.177274983725	0.123661685868	0.0706702005775	0.235584512401	0.0624784212145	0.105645439726	0.427691958864	0.214496993141	0.138963084603	0.146004854261	0.133336711505	0.176770834586	0.0365855962787	0.0570178075439	0.0346488734371	0.347460960649	0.0330780237354	0.0844205033246	0.168106683798	0.119653399614	0.0465947173415	0.0309437637524	0.234158809555	0.169043696933	0.177529205437
alpha_rarefaction_1526_1.txt	1526	1	0.0540616212818	0.0685127514519	0.0623324155013	0.0328856397369	0.0585637503886	0.121331606458	0.111590448822	0.0752075428269	0.0466891916265	0.0303434226144	0.0315604231761	0.132787042938	0.082054351915	0.073263090271	0.0850620696052	0.0637873194897	0.0481226241864	0.102508893466	0.0708084765764	0.0901679752787	0.223043480501	0.0469562961958	0.0481887561859	0.0625771897851	0.102205716897	0.129017518968	0.0890480255733	0.333654832188	0.0806518382119	0.147564538819	0.157796962738	0.182957182536	0.133355606362	0.119686036185	0.391124398585	0.14933378452	0.0471229144802	0.0886177381482	0.104717874019	0.064414285199	0.201389115532	0.0728147668461	0.140765825731	0.107073719143	0.0791496970811	0.111162737968	0.0374049459865	0.0736401285537	0.0855559124584	0.312059728361	0.0732733965567	0.0889466804313	0.0437355819358	0.180171908844	0.0294510700501	0.113035905381	0.178544374572	0.0811800353506	0.0620472749322	0.263049045896	0.334054200756	0.141718298295	0.147996543959	0.144335235988	0.111580142536	0.152559651922	0.0472002116224	0.050645946452	0.16459739354	0.124718939002	0.0666490314668	0.224046625636	0.0651700794786	0.101416427189	0.405657120183	0.227400462752	0.133093654935	0.146223003973	0.126810256128	0.176013322592	0.0336362808738	0.0635245092061	0.0339489048713	0.34442575953	0.0323419831698	0.0914433781256	0.161149940997	0.114805151082	0.0445472019293	0.0289469209113	0.248462216298	0.149371574234	0.192147812749
alpha_rarefaction_1526_2.txt	1526	2	0.0575563109681	0.0664214343258	0.0654784091905	0.0321590465999	0.0518320281568	0.112664020242	0.117005543064	0.0696335600144	0.0478005527605	0.0315131860336	0.0334739568751	0.131745249232	0.085547323887	0.0726979622756	0.0793403633653	0.0560661938372	0.0513502093035	0.0998576014869	0.0625668834995	0.0878069770118	0.215155736564	0.0452643476379	0.0514721670168	0.059184704098	0.110047941405	0.138376485179	0.0824803450544	0.317594203745	0.0955538683784	0.137004890333	0.187214537359	0.198063620701	0.122833747589	0.143309760568	0.382610547796	0.150990519935	0.0497226750308	0.0799123622178	0.103802332312	0.0659559337581	0.199027258408	0.0734623451266	0.135699427486	0.0995415420608	0.0744697845471	0.125028127571	0.040319907106	0.0739810948367	0.0868098438769	0.31853722888	0.0702467840095	0.0893975804277	0.0477009253327	0.183961186528	0.0278888089197	0.130423468099	0.186754189935	0.08464380618	0.0678162183146	0.254722425962	0.330355961929	0.134704012065	0.136077324626	0.14500943884	0.131144049237	0.15961945758	0.048265194471	0.050412337311	0.18725919793	0.126417758417	0.0633192423506	0.230219231873	0.0590034852423	0.0995484129179	0.382676679796	0.223954727923	0.146002277689	0.148362417099	0.134074469785	0.181025612838	0.0363322334236	0.0617045909349	0.0361115071397	0.352079894326	0.0327370574524	0.0881359192949	0.152381868495	0.123726100153	0.0465938584844	0.0281851146317	0.230842762153	0.154553059335	0.18908255163
alpha_rarefaction_1526_3.txt	1526	3	0.0526427892931	0.072372455421	0.0670209166067	0.0324974363114	0.0464538647712	0.123035579016	0.123129194444	0.0801184879305	0.0498961641723	0.0319177077447	0.0299500660461	0.133496458932	0.0814531519198	0.0679029628853	0.0820698113434	0.0606490555148	0.0514489778741	0.104473099736	0.0637125989189	0.0907485627026	0.207940477765	0.0477928230462	0.0522897990103	0.0587630052442	0.108988970557	0.135621271486	0.0774938205229	0.355341833729	0.091048303843	0.139821082881	0.189143530487	0.192703493316	0.120470172751	0.129650496677	0.39859302024	0.153645247342	0.0478684024742	0.0831794547631	0.109771389408	0.0682611063111	0.203598096086	0.0707320382913	0.131471273805	0.10994144312	0.0783947616586	0.112840944812	0.0394078008276	0.0721208102802	0.0888350290036	0.316113534043	0.0755210256815	0.0983228237848	0.047696631047	0.189274076772	0.028048556347	0.127742974978	0.185983795084	0.0882003335801	0.0635837703485	0.264570081883	0.305771176411	0.144811042842	0.136212165196	0.149022019379	0.112735305384	0.153895174769	0.0471057373374	0.0448057179273	0.173314793471	0.124712927002	0.0682911663108	0.21434154	0.0654028297625	0.103288735745	0.435664729658	0.230924353581	0.123103428729	0.129976862389	0.145140843982	0.159408178725	0.0349125425778	0.0681666320261	0.0295395323351	0.333883288186	0.0343551442966	0.0795275942209	0.160013673006	0.119172439618	0.0458002744907	0.0287991974839	0.23595382097	0.164751128968	0.187881010497
alpha_rarefaction_1526_4.txt	1526	4	0.0560979715512	0.0660985040426	0.0657068651886	0.0361278254253	0.0477258321896	0.121511966456	0.113383742522	0.0711339834309	0.0469313893388	0.0306208334693	0.0328942283083	0.140022914308	0.0822956907702	0.065639874332	0.0823059970558	0.0602625698036	0.0519728807271	0.107951471136	0.0661234108996	0.0894164752847	0.209626414323	0.0482780773281	0.0526616841501	0.0585448555316	0.105075158588	0.147355836535	0.085786945028	0.36761833763	0.0934883169664	0.148416525098	0.176419562017	0.189195920772	0.125249712712	0.131633597804	0.382853604366	0.150949294792	0.0516027133015	0.0737646628385	0.104119250596	0.0624002652151	0.200868648107	0.0689215674486	0.129715769819	0.104712720877	0.0762166999617	0.115285252221	0.0377072636983	0.079951010789	0.0917894975514	0.310196008376	0.0761265199624	0.0922773284046	0.0507163727371	0.180804027696	0.02964603062	0.12625801099	0.189417505913	0.0833228839048	0.0646307171972	0.254734449962	0.327130953383	0.138637577748	0.146411093686	0.143840534278	0.112161588817	0.162628034128	0.0441993647893	0.0436977922218	0.165935492958	0.127452681266	0.0780048405188	0.243185398055	0.0618926806477	0.103444188887	0.414176982972	0.219758351956	0.12753856698	0.138316365179	0.135507043487	0.16459739354	0.033770262587	0.0623289800728	0.0322887340274	0.347939344074	0.0356176642865	0.0823626816268	0.15645285132	0.123087969301	0.0463508019149	0.0300428226168	0.239885668938	0.157258459313	0.174543818032
alpha_rarefaction_1526_5.txt	1526	5	0.0575709115394	0.071589177713	0.0636808212048	0.0317588191745	0.051504803588	0.107628540853	0.126405734417	0.0734786634122	0.0424223893749	0.0342263157262	0.0301905460442	0.142504152574	0.0825516301967	0.0716329794269	0.0856890353145	0.0572350983993	0.0474836344773	0.0934900346807	0.0695811697291	0.0911101415568	0.208375918333	0.046048484203	0.0481466721863	0.0600916572336	0.103872758598	0.140747789731	0.0792063816521	0.348652195496	0.0968301300825	0.141820502294	0.204226779509	0.182728726538	0.122553760162	0.121345348172	0.407264041885	0.145007721126	0.0512437110186	0.079250183366	0.101516054616	0.0662024257561	0.193132921884	0.0741064879786	0.129614424677	0.104673213448	0.076161733105	0.108800880844	0.0449714773545	0.0781817650888	0.0828067107661	0.314635440911	0.0807540422111	0.0902607318493	0.0466909093408	0.177139284297	0.0299251591892	0.128007502976	0.175577023167	0.0860368724546	0.0603338549459	0.261960015047	0.329831200218	0.157042027315	0.138245080037	0.136213024053	0.116409496212	0.161570780993	0.0462494567729	0.0541509424239	0.183122941964	0.118817731621	0.0618789389335	0.226766626186	0.0627317840696	0.109402939696	0.403318452202	0.233804101558	0.134472120639	0.139748938882	0.144439157702	0.184628518523	0.0382741094081	0.0589760018139	0.0332188763057	0.355408824585	0.0343800511535	0.0762708079613	0.155977044466	0.108096617992	0.0468120081969	0.0292148843377	0.248627975725	0.15232346621	0.179094043139
alpha_rarefaction_1526_6.txt	1526	6	0.0548895595609	0.0672218891765	0.0597463966649	0.0331690625918	0.0521893127253	0.118607311623	0.112140117389	0.0763712942462	0.045201651067	0.029841850047	0.0329234294509	0.140108800022	0.0805900004981	0.0738917736946	0.0861940433104	0.0617879000771	0.0472388601935	0.105830952868	0.0678454194572	0.0941642375324	0.225129644485	0.0455469116356	0.0546009835632	0.0577856258234	0.107583880282	0.131569183519	0.0852080753183	0.35398312174	0.0954078626653	0.124243132149	0.178244633431	0.182324204827	0.124594404718	0.13424967664	0.408347060733	0.151431972503	0.0478615316171	0.0834723250465	0.0970826340805	0.0715427994277	0.198371091556	0.0735645491258	0.131085646951	0.112072267675	0.0746784868311	0.120456431036	0.0438480922206	0.0746595919742	0.0812985576353	0.320480822579	0.0696661965855	0.0885799484342	0.0432597750825	0.175953202592	0.0306964128973	0.127785917835	0.179086313424	0.0818224604883	0.0596046852374	0.255102899673	0.31641413404	0.146415387972	0.150148839942	0.138286305179	0.114285542514	0.162585091271	0.044235436789	0.0456473979205	0.177027632869	0.114477926513	0.0700251988684	0.23128163815	0.0648866566238	0.0936016861083	0.408173571592	0.215255363992	0.132371356084	0.134199004069	0.142902662285	0.166170819813	0.0373474025584	0.0562018932647	0.0330617054498	0.348790471495	0.032033653458	0.0768024405284	0.151394182789	0.124341041862	0.0460794030599	0.0286772397706	0.23912643923	0.144339530274	0.172436182621
alpha_rarefaction_1526_7.txt	1526	7	0.0586771195306	0.0708479840046	0.0664437646113	0.0349391671491	0.0535557544287	0.124344477291	0.11826033334	0.0775539405224	0.0411375390995	0.0295180609067	0.0328195077374	0.149572546803	0.0768642782422	0.0735387834117	0.0988484443521	0.0565471538333	0.0528841281484	0.103716446599	0.0655694480469	0.0928476095429	0.204334136651	0.0444767756442	0.0517770613001	0.0568468949738	0.100518921482	0.143207556569	0.0799278216463	0.37983558039	0.083071238764	0.128389694401	0.196109720717	0.18677652022	0.139041240602	0.127876097834	0.392149015149	0.150007987371	0.0480685161869	0.086374403309	0.101922294042	0.0684303011668	0.20334473323	0.0682808600252	0.134368198925	0.100619407766	0.0794537325072	0.116140673928	0.039126095687	0.0779163782338	0.0870236993038	0.303872243283	0.0768831730992	0.0888556415749	0.0493430601767	0.182722714538	0.0278759260627	0.115624500789	0.20014205497	0.0839902158995	0.0692419211604	0.250077726571	0.329856965933	0.138273422322	0.135778442342	0.139411408028	0.11752858706	0.160455984431	0.0457375779198	0.048783085324	0.181015306552	0.127444092695	0.0644452040559	0.225680171909	0.0735233239832	0.0950385540968	0.433302013676	0.225638087909	0.123351638442	0.141069861157	0.137211874902	0.172218891765	0.0350602660052	0.0634918726349	0.0296958443339	0.3232094117	0.0340811688702	0.0950196592398	0.158784648444	0.115113480793	0.043976920791	0.0312331986073	0.248700978582	0.155484919328	0.178351990573
alpha_rarefaction_1526_8.txt	1526	8	0.0591555029553	0.0731359794149	0.0610132109405	0.0334370260182	0.0504303733108	0.124004369865	0.117635085345	0.0748382342584	0.0457461664912	0.0286471797708	0.0350568305767	0.13228547037	0.0844917884669	0.070515606293	0.0886941764333	0.0567859161171	0.0476889013328	0.0958072312335	0.0641411686297	0.0970465620808	0.209181526327	0.0455666653498	0.0494117687476	0.0584108738184	0.0990717472074	0.135696850914	0.0767861222429	0.333622195617	0.0885653478629	0.131879230945	0.182948593965	0.19679852414	0.131208463522	0.114208245372	0.388289311179	0.150812736508	0.0515065213022	0.0776862045214	0.106365162006	0.0680747343125	0.201426905246	0.0676161046019	0.133309228076	0.102641157465	0.0760286102489	0.113046211667	0.0388280722608	0.0740936051215	0.0881737090089	0.31358935292	0.0707157200057	0.0883772581501	0.0441340916469	0.180954327695	0.0295146254782	0.12654572813	0.199495335547	0.0856117381722	0.0619364823617	0.257247465942	0.335842341313	0.14410677999	0.144312905703	0.146189508545	0.119783945899	0.153235572488	0.0442904036457	0.0435311739375	0.170758834634	0.114913367081	0.0659361800439	0.231945534716	0.0635622989201	0.102673794036	0.422648749762	0.234051452413	0.134206733783	0.147091308538	0.13101693838	0.169730782642	0.0344255705817	0.0617406629346	0.03428214144	0.335157832176	0.0328658860228	0.0807806667823	0.15040735594	0.125723801851	0.0458423584904	0.0292320614804	0.232081234143	0.155942690181	0.183889042529
alpha_rarefaction_1526_9.txt	1526	9	0.0577074698241	0.0667117280377	0.0633209600649	0.0337633917299	0.0526651195787	0.128227370403	0.12181084874	0.072201542851	0.0437441705072	0.0305985031838	0.0322088603138	0.144721721699	0.0829458456221	0.0668087788941	0.0897187929965	0.0584100149613	0.0510521858773	0.101342565475	0.0675705851737	0.0910302678432	0.212048391446	0.0446880544996	0.0509130510213	0.0615036183651	0.0983786494987	0.135837703485	0.0838768467576	0.356148300579	0.0882406998655	0.133833989786	0.18487243395	0.183633961959	0.140863735445	0.130827989811	0.403380289916	0.136883791476	0.0499957916	0.0769458696701	0.103063715175	0.0678548668857	0.193685167022	0.0667718480373	0.133422597218	0.110543501973	0.0757726708224	0.108896213986	0.0390247505449	0.0782470382312	0.0883317387219	0.319211431732	0.0732192885571	0.0873096987301	0.0493636727479	0.17084386149	0.0310777454657	0.133638170359	0.192545463602	0.0834860667607	0.0779129428053	0.263907903032	0.321678069427	0.142920698285	0.138428875464	0.132230503514	0.114588719083	0.163819268975	0.0430630967984	0.0517229533005	0.190308140763	0.125716930994	0.0722298851364	0.245122120896	0.0629379097822	0.104803759733	0.400428397939	0.215444312562	0.131232511522	0.139968806309	0.133464681218	0.196694602426	0.0359251351412	0.0647105909109	0.0312057151789	0.339385985856	0.0334885574464	0.084246155326	0.156131638751	0.119540889329	0.0446202047859	0.0276663649215	0.242076613492	0.164135328401	0.185638534515
