	sequences per sample	iteration	LC01_F	LC02_F	LC03_F	LC05_F	LC06_F	LC07_F	LC08_F	LC10_F	LC11_F	LC12_F	LC13_F	LP02_F	LP03_F	LP04_F	LP05_F	LP06_F	LP08_F_REDO	LP09_F	LP11_F	LP12_F	LP13_F_REDO	LP14_F	LP16_F	LP17_F	LP18_F	LP19_F	LP20_F	s10832	s10852	s11287	s11367	s12389	s1624	s20844	s21911	s21944	s22683	s22756	s22787	s24010	s25149	s26891	s26917	s27111	s27321_9596	s27403	s27555	s27796	s28408	s28504	s28535	s28791	s29396	s29404	s29523	s29527	s29556	s29586	s29745	s29753	s29763	s29777	s29780_9504	s29848	s29934	s30012	s30239	s30731	s30879	s31091	s31166	s31202	s31219	s31369	s31407	s31475	s31659	s31686	s31716	s31761	s31904	s31943	s32025	s32109	s32186	s32573	s32679	s32994	s33276	s33833	sAI_5316	sAI_9042	sAI_9328
alpha_rarefaction_1526_0.txt	1526	0	0.151376146789	0.191349934469	0.137614678899	0.0773263433814	0.198558322412	0.330275229358	0.324377457405	0.249672346003	0.152686762779	0.0982961992136	0.0858453473132	0.353866317169	0.152031454784	0.157273918742	0.24246395806	0.14744429882	0.125819134993	0.218217562254	0.20249017038	0.198558322412	0.362385321101	0.0799475753604	0.114023591088	0.155307994758	0.180865006553	0.318479685452	0.252948885976	0.587155963303	0.187418086501	0.25753604194	0.394495412844	0.317824377457	0.317169069463	0.306028833552	0.597640891219	0.271952817824	0.157929226737	0.235910878113	0.247051114024	0.161861074705	0.405635648755	0.231979030144	0.254259501966	0.270642201835	0.167758846658	0.21756225426	0.144823066841	0.167758846658	0.158584534731	0.399082568807	0.231979030144	0.234600262123	0.125163826999	0.382699868938	0.112712975098	0.306028833552	0.301441677588	0.184796854522	0.200524246396	0.452817824377	0.548492791612	0.298165137615	0.304718217562	0.266710353866	0.304062909567	0.281782437746	0.118610747051	0.149410222805	0.395150720839	0.252293577982	0.199213630406	0.474442988204	0.179554390564	0.237221494102	0.628440366972	0.378112712975	0.340104849279	0.290301441678	0.273263433814	0.393840104849	0.0982961992136	0.190694626474	0.134338138925	0.578636959371	0.0884665792923	0.226736566186	0.340104849279	0.244429882045	0.0930537352556	0.0773263433814	0.37876802097	0.293577981651	0.37876802097
alpha_rarefaction_1526_1.txt	1526	1	0.131716906946	0.18872870249	0.150720838794	0.0773263433814	0.216906946265	0.326343381389	0.309305373526	0.24246395806	0.1625163827	0.086500655308	0.0963302752294	0.332241153342	0.171690694626	0.1749672346	0.249017038008	0.155307994758	0.109436435125	0.208387942333	0.211009174312	0.207732634338	0.385976408912	0.083879423329	0.113368283093	0.151376146789	0.182175622543	0.290301441678	0.265399737877	0.559633027523	0.175622542595	0.291612057667	0.365661861075	0.304718217562	0.339449541284	0.292922673657	0.602228047182	0.280471821756	0.146788990826	0.250327653997	0.261467889908	0.144167758847	0.40629095675	0.220183486239	0.27129750983	0.275229357798	0.1625163827	0.20380078637	0.119266055046	0.180865006553	0.153342070773	0.389252948886	0.226736566186	0.231323722149	0.125819134993	0.36500655308	0.111402359109	0.291612057667	0.30996068152	0.186762778506	0.190694626474	0.433813892529	0.558322411533	0.28505897772	0.30996068152	0.271952817824	0.288335517693	0.278505897772	0.114678899083	0.169069462647	0.376802096986	0.258846657929	0.182830930537	0.461992136304	0.192005242464	0.233944954128	0.608125819135	0.393840104849	0.326343381389	0.283093053735	0.266055045872	0.388597640891	0.083879423329	0.208387942333	0.127129750983	0.574049803408	0.0832241153342	0.233289646134	0.335517693316	0.224770642202	0.0956749672346	0.0720838794233	0.407601572739	0.277195281782	0.399082568807
alpha_rarefaction_1526_2.txt	1526	2	0.153342070773	0.186107470511	0.157273918742	0.0792922673657	0.199213630406	0.315203145478	0.317824377457	0.232634338139	0.163826998689	0.102883355177	0.0950196592398	0.332241153342	0.166448230668	0.172346002621	0.236566186107	0.136959370904	0.132372214941	0.211009174312	0.188073394495	0.197247706422	0.37876802097	0.0851900393185	0.109436435125	0.14744429882	0.193971166448	0.307339449541	0.250982961992	0.542595019659	0.206422018349	0.273263433814	0.407601572739	0.317169069463	0.321100917431	0.334862385321	0.591087811271	0.292922673657	0.150065530799	0.23001310616	0.266710353866	0.14744429882	0.40498034076	0.218872870249	0.263433813893	0.259501965924	0.169724770642	0.212319790301	0.139580602883	0.172346002621	0.133682830931	0.391874180865	0.222804718218	0.233289646134	0.143512450852	0.373525557012	0.10878112713	0.326343381389	0.333551769332	0.197903014417	0.207732634338	0.425294888598	0.557011795544	0.278505897772	0.291612057667	0.265399737877	0.323066841415	0.306028833552	0.129750982962	0.176933158585	0.406946264744	0.261467889908	0.173656618611	0.469200524246	0.172346002621	0.226736566186	0.585845347313	0.394495412844	0.346657929227	0.278505897772	0.28243774574	0.395806028834	0.0851900393185	0.205111402359	0.142201834862	0.580602883355	0.0733944954128	0.233289646134	0.32372214941	0.247051114024	0.112057667104	0.083879423329	0.380733944954	0.279816513761	0.399737876802
alpha_rarefaction_1526_3.txt	1526	3	0.121887287025	0.200524246396	0.159239842726	0.0806028833552	0.180865006553	0.331585845347	0.327653997379	0.252948885976	0.173656618611	0.104193971166	0.0779816513761	0.330930537353	0.165137614679	0.164482306684	0.239187418087	0.142201834862	0.128440366972	0.216906946265	0.186762778506	0.204456094364	0.361730013106	0.100917431193	0.130406290957	0.149410222805	0.197903014417	0.298165137615	0.24377457405	0.577326343381	0.197903014417	0.28505897772	0.412188728702	0.302096985583	0.319134993447	0.311926605505	0.60747051114	0.306684141547	0.149410222805	0.243119266055	0.276539973788	0.142857142857	0.42005242464	0.211009174312	0.253604193971	0.278505897772	0.169724770642	0.205111402359	0.136959370904	0.172346002621	0.156618610747	0.403014416776	0.235255570118	0.254259501966	0.142857142857	0.378112712975	0.0963302752294	0.318479685452	0.332896461337	0.20249017038	0.194626474443	0.441022280472	0.532765399738	0.296854521625	0.284403669725	0.281127129751	0.289646133683	0.292267365662	0.126474442988	0.142857142857	0.386631716907	0.258846657929	0.189384010485	0.450851900393	0.18872870249	0.230668414155	0.636959370904	0.396461336828	0.310615989515	0.24377457405	0.299475753604	0.368283093054	0.0851900393185	0.223460026212	0.116644823067	0.564875491481	0.083879423329	0.21494102228	0.330930537353	0.232634338139	0.102228047182	0.0720838794233	0.389252948886	0.287024901704	0.396461336828
alpha_rarefaction_1526_4.txt	1526	4	0.138269986894	0.186107470511	0.169724770642	0.0937090432503	0.182830930537	0.330930537353	0.310615989515	0.238532110092	0.161861074705	0.0969855832241	0.0923984272608	0.342726081258	0.163826998689	0.155963302752	0.241808650066	0.151376146789	0.118610747051	0.220183486239	0.20249017038	0.196592398427	0.36369593709	0.0910878112713	0.116644823067	0.159239842726	0.199213630406	0.319790301442	0.256880733945	0.590432503277	0.195281782438	0.290956749672	0.39252948886	0.317169069463	0.327653997379	0.315858453473	0.598296199214	0.273918741809	0.157929226737	0.222149410223	0.254914809961	0.13630406291	0.40498034076	0.206422018349	0.246395806029	0.268020969856	0.164482306684	0.214285714286	0.12254259502	0.198558322412	0.168414154653	0.393840104849	0.239187418087	0.239842726081	0.141546526868	0.365661861075	0.110091743119	0.321100917431	0.320445609436	0.199213630406	0.207732634338	0.412844036697	0.551114023591	0.286369593709	0.315203145478	0.275884665793	0.288335517693	0.298165137615	0.116644823067	0.145478374836	0.37876802097	0.268020969856	0.218872870249	0.482961992136	0.181520314548	0.235910878113	0.618610747051	0.381389252949	0.318479685452	0.258846657929	0.279816513761	0.373525557012	0.0851900393185	0.208387942333	0.119921363041	0.577981651376	0.0871559633028	0.212975098296	0.321756225426	0.238532110092	0.103538663172	0.0792922673657	0.384010484928	0.28505897772	0.376802096986
alpha_rarefaction_1526_5.txt	1526	5	0.145478374836	0.201179554391	0.14875491481	0.0773263433814	0.197903014417	0.307339449541	0.332241153342	0.237876802097	0.14744429882	0.101572739187	0.0851900393185	0.346002621232	0.165137614679	0.157929226737	0.250982961992	0.138269986894	0.10878112713	0.193315858453	0.199213630406	0.211664482307	0.368283093054	0.083879423329	0.115989515072	0.150720838794	0.182830930537	0.302096985583	0.243119266055	0.572083879423	0.222149410223	0.277850589777	0.430537352556	0.302096985583	0.32372214941	0.300786369594	0.620576671035	0.274574049803	0.150720838794	0.235910878113	0.254914809961	0.154652686763	0.394495412844	0.219528178244	0.255570117955	0.269331585845	0.169724770642	0.204456094364	0.150065530799	0.188073394495	0.142857142857	0.408256880734	0.247706422018	0.227391874181	0.13499344692	0.361074705111	0.112057667104	0.323066841415	0.313237221494	0.205111402359	0.189384010485	0.442988204456	0.551769331586	0.307994757536	0.279816513761	0.260812581913	0.294888597641	0.288335517693	0.117955439056	0.17627785059	0.400393184797	0.252948885976	0.165792922674	0.463958060288	0.18872870249	0.239842726081	0.606159895151	0.394495412844	0.328309305374	0.269331585845	0.299475753604	0.399082568807	0.101572739187	0.197903014417	0.127785058978	0.585190039318	0.0779816513761	0.209043250328	0.327653997379	0.210353866317	0.0937090432503	0.0760157273919	0.388597640891	0.277195281782	0.383355176933
alpha_rarefaction_1526_6.txt	1526	6	0.131716906946	0.19003931848	0.140891218873	0.0806028833552	0.199868938401	0.32372214941	0.312581913499	0.246395806029	0.153997378768	0.0897771952818	0.0845347313237	0.345347313237	0.173656618611	0.165137614679	0.249672346003	0.146788990826	0.117955439056	0.231323722149	0.198558322412	0.21625163827	0.386631716907	0.0832241153342	0.141546526868	0.146788990826	0.182175622543	0.287680209699	0.258191349934	0.577981651376	0.205111402359	0.24246395806	0.396461336828	0.307994757536	0.326343381389	0.322411533421	0.617955439056	0.273918741809	0.142201834862	0.247051114024	0.245085190039	0.163826998689	0.406946264744	0.21494102228	0.265399737877	0.28505897772	0.158584534731	0.20249017038	0.152686762779	0.182830930537	0.152031454784	0.410222804718	0.226736566186	0.231323722149	0.134338138925	0.358453473132	0.110747051114	0.321756225426	0.308650065531	0.182830930537	0.186762778506	0.422673656619	0.547182175623	0.295543905636	0.299475753604	0.260157273919	0.290301441678	0.313892529489	0.105504587156	0.150720838794	0.394495412844	0.239187418087	0.182175622543	0.469855832241	0.183486238532	0.218872870249	0.610747051114	0.382699868938	0.326343381389	0.25622542595	0.300786369594	0.372870249017	0.100917431193	0.187418086501	0.130406290957	0.579292267366	0.0792922673657	0.204456094364	0.315858453473	0.252293577982	0.0910878112713	0.0747051114024	0.393840104849	0.269331585845	0.372870249017
alpha_rarefaction_1526_7.txt	1526	7	0.141546526868	0.20380078637	0.169069462647	0.0845347313237	0.20380078637	0.332896461337	0.319134993447	0.247051114024	0.142201834862	0.0858453473132	0.0969855832241	0.357142857143	0.140891218873	0.169069462647	0.279161205767	0.133027522936	0.12123197903	0.207077326343	0.190694626474	0.216906946265	0.370904325033	0.0779816513761	0.119266055046	0.148099606815	0.171690694626	0.310615989515	0.24377457405	0.600262123198	0.174311926606	0.262778505898	0.420707732634	0.317169069463	0.347968545216	0.306028833552	0.603538663172	0.28243774574	0.143512450852	0.247051114024	0.252293577982	0.168414154653	0.412188728702	0.195937090433	0.262778505898	0.260812581913	0.166448230668	0.20380078637	0.133682830931	0.18872870249	0.149410222805	0.390563564875	0.237221494102	0.237221494102	0.132372214941	0.369593709043	0.0989515072084	0.300131061599	0.340104849279	0.195937090433	0.211664482307	0.430537352556	0.555701179554	0.290301441678	0.292267365662	0.273263433814	0.298820445609	0.285714285714	0.115334207077	0.159895150721	0.400393184797	0.250327653997	0.173656618611	0.463302752294	0.206422018349	0.213630406291	0.633027522936	0.397116644823	0.315203145478	0.268676277851	0.287024901704	0.387942332896	0.0819134993447	0.212319790301	0.113368283093	0.55504587156	0.0851900393185	0.244429882045	0.330275229358	0.226081258191	0.0897771952818	0.083879423329	0.384010484928	0.283093053735	0.384665792923
alpha_rarefaction_1526_8.txt	1526	8	0.154652686763	0.203145478375	0.148099606815	0.0806028833552	0.195281782438	0.332896461337	0.318479685452	0.244429882045	0.154652686763	0.0897771952818	0.0996068152031	0.328964613368	0.180865006553	0.1625163827	0.258846657929	0.146788990826	0.118610747051	0.203145478375	0.195937090433	0.211009174312	0.376802096986	0.0858453473132	0.110747051114	0.153342070773	0.18872870249	0.302096985583	0.239842726081	0.558322411533	0.191349934469	0.270642201835	0.401048492792	0.32372214941	0.336173001311	0.28243774574	0.600917431193	0.284403669725	0.153342070773	0.231979030144	0.255570117955	0.14744429882	0.408256880734	0.199213630406	0.251638269987	0.266710353866	0.168414154653	0.206422018349	0.127129750983	0.176933158585	0.152686762779	0.395806028834	0.224115334207	0.231323722149	0.124508519004	0.36369593709	0.0982961992136	0.318479685452	0.346002621232	0.201179554391	0.19003931848	0.416120576671	0.562254259502	0.298165137615	0.298165137615	0.281127129751	0.300786369594	0.285714285714	0.115334207077	0.142857142857	0.387942332896	0.226736566186	0.178899082569	0.469855832241	0.182830930537	0.224115334207	0.624508519004	0.399737876802	0.3250327654	0.273918741809	0.268676277851	0.384010484928	0.0878112712975	0.211009174312	0.133027522936	0.566841415465	0.0799475753604	0.211009174312	0.310615989515	0.246395806029	0.102883355177	0.0773263433814	0.368938401048	0.279816513761	0.388597640891
alpha_rarefaction_1526_9.txt	1526	9	0.144823066841	0.186107470511	0.153997378768	0.0851900393185	0.203145478375	0.342070773263	0.3250327654	0.236566186107	0.138925294889	0.100262123198	0.0878112712975	0.353866317169	0.1625163827	0.163171690695	0.261467889908	0.149410222805	0.133682830931	0.207732634338	0.197903014417	0.201179554391	0.376146788991	0.0858453473132	0.116644823067	0.1625163827	0.171035386632	0.298820445609	0.254914809961	0.578636959371	0.192660550459	0.275884665793	0.405635648755	0.307994757536	0.348623853211	0.30996068152	0.614023591088	0.262123197903	0.140891218873	0.233289646134	0.259501965924	0.139580602883	0.396461336828	0.195281782438	0.254259501966	0.279161205767	0.163171690695	0.200524246396	0.134338138925	0.183486238532	0.158584534731	0.396461336828	0.231323722149	0.226736566186	0.134338138925	0.340104849279	0.115989515072	0.331585845347	0.321100917431	0.192005242464	0.226081258191	0.436435124509	0.547182175623	0.300786369594	0.29619921363	0.271952817824	0.292922673657	0.294233289646	0.118610747051	0.167758846658	0.410878112713	0.267365661861	0.197247706422	0.484272608126	0.184141546527	0.250327653997	0.602228047182	0.384010484928	0.325688073394	0.260157273919	0.277850589777	0.416120576671	0.0904325032765	0.216906946265	0.116644823067	0.56880733945	0.0753604193971	0.219528178244	0.326998689384	0.238532110092	0.0956749672346	0.0766710353866	0.39252948886	0.28243774574	0.393840104849
