# Constructed from biom file
#OTU ID	African_American	Asian	Caucasian	Caucasian/African American	Hispanic_Latino	Multi_racial	NA
d:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanobacteriaceae;g:Methanobrevibacter	0.000517443922896	0.0	0.000828570624096	0.0	0.00174395260678	0.0	0.00152647124525
d:Archaea;p:Euryarchaeota;c:Methanobacteria;o:Methanobacteriales;f:Methanobacteriaceae;g:Methanosphaera	3.10184367949e-06	1.63213344323e-05	0.0	0.0	0.0	0.0	0.0
d:Bacteria;Other;Other;Other;Other;Other	0.00299384312228	0.000114249341026	0.00190891081097	0.0	0.00354720388885	0.000126148814316	0.0261113455286
d:Bacteria;p:Actinobacteria;Other;Other;Other;Other	0.0	0.0	0.0	0.0	0.000165750514041	0.0	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;Other;Other;Other	2.19948915454e-05	0.0	2.89767357816e-05	0.0	1.14310699339e-05	0.0	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;Other;Other	5.35772999184e-06	0.0	1.6675291346e-05	0.0	1.21455118047e-05	5.73403701436e-05	0.000124103353273
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Actinomycetaceae;g:Actinomyces	0.00015650211292	2.44820016485e-05	0.000231267155389	3.60854503464e-05	6.00131171527e-05	0.000254591243437	0.000111693017945
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Actinomycetaceae;g:Actinotignum	0.0	0.0	0.0	0.0	0.0	0.0	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Actinomycetaceae;g:Mobiluncus	1.40992894522e-06	0.0	0.0	0.0	2.1433256126e-06	6.88084441723e-06	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Actinomycetaceae;g:Varibaculum	1.69191473427e-06	0.0	3.82711604663e-06	0.0	6.42997683779e-06	3.66978368919e-05	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Corynebacteriaceae;g:Corynebacterium	5.35772999184e-06	0.0	1.14813481399e-05	0.0	1.42888374173e-06	5.50467553378e-05	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Geodermatophilaceae;g:Geodermatophilus	0.0	0.0	0.0	0.0	0.0	1.83489184459e-05	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Microbacteriaceae;Other	0.0	0.0	0.0	0.0	0.0	1.14680740287e-05	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Microbacteriaceae;g:Agromyces	0.0	0.0	1.64019259141e-06	0.0	0.0	0.0	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Actinomycetales;f:Micrococcaceae;g:Rothia	5.66791435979e-05	8.16066721615e-06	6.61544345204e-05	0.0	6.42997683779e-06	7.79829033952e-05	3.72310059818e-05
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Alloscardovia	1.69191473427e-06	0.0	4.92057777424e-06	4.81139337952e-05	4.92964890898e-05	1.37616888345e-05	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Bifidobacterium	0.0290154917353	0.0118003247946	0.0236756333262	0.0330663010008	0.0524171711817	0.0045551190042	0.00630445034625
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Gardnerella	2.81985789044e-06	4.08033360808e-06	6.83413579756e-06	0.000396939953811	2.85776748346e-06	0.000151378577179	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Parascardovia	1.97390052331e-06	0.0	2.73365431902e-07	0.0	7.14441870866e-07	0.0	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Bifidobacteriales;f:Bifidobacteriaceae;g:Scardovia	3.38382946853e-06	1.36011120269e-06	7.38086666136e-06	0.0	2.85776748346e-06	1.37616888345e-05	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;Other	0.000186110620769	1.49612232296e-05	0.000410321513285	0.000168398768283	0.000246482445449	0.000158259421596	0.000446772071781
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Adlercreutzia	0.000149452468193	0.0	0.000291407550408	0.0	0.000175038258362	5.73403701436e-05	0.000124103353273
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Atopobium	1.21253889289e-05	0.0	1.17547135718e-05	2.40569668976e-05	7.85886057953e-06	8.0276518201e-05	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Collinsella	0.00600263149138	0.00103096429164	0.00670866106432	0.000890107775212	0.0109252450893	0.0119222097602	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Eggerthella	0.000379834857843	0.000270662129336	0.000680953290869	0.0	0.000277203445896	0.000133029658733	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Enterorhabdus	0.000123509775601	0.0	1.31215407313e-05	0.0	0.0	0.0	0.000484003077763
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Gordonibacter	0.000104616727735	1.49612232296e-05	7.62689555008e-05	0.0	4.7867605348e-05	0.000103212666258	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Olsenella	6.20368735897e-06	0.00227002559729	6.28740493375e-05	0.0	2.07188142551e-05	1.60553036402e-05	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Senegalimassilia	0.000362633724711	0.0	7.87292443879e-05	0.000252598152425	0.00015646276972	0.0	0.0
d:Bacteria;p:Actinobacteria;c:Actinobacteria;o:Coriobacteriales;f:Coriobacteriaceae;g:Slackia	0.000232074304383	0.0	0.000126021464107	0.0	5.21542565732e-05	0.000472484649983	0.000310258383182
d:Bacteria;p:Bacteroidetes;Other;Other;Other;Other	0.00148183532143	0.0	0.000381071412072	0.0	2.28621398677e-05	0.0	0.00280473578396
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;Other;Other	0.00250487976408	0.000118329674634	0.000895818520344	0.0	0.00163964409364	2.29361480574e-06	0.0
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Bacteroidaceae;g:Bacteroides	0.214699468006	0.229044086645	0.210338297923	0.674449095458	0.41729692347	0.125985967665	0.0672888381444
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;Other	0.000373067198905	0.000180894789958	0.00126622868057	7.21709006928e-05	0.000273631236542	0.0	1.24103353273e-05
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Barnesiella	0.00268873449854	0.000930316062641	0.00123014444356	0.0	0.00532830747292	0.0	0.00265581176003
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Butyricimonas	0.000812119072447	0.000538604036266	0.000349087656539	0.000240569668976	0.000191470421392	0.0	0.00103005783216
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Coprobacter	3.32743231072e-05	0.0	6.01403950185e-06	0.000721709006928	6.14420008945e-05	0.0	0.0
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Odoribacter	0.00107972358625	0.00109760974057	0.00067111213532	0.0	0.00148675353327	0.0	0.00143959889796
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Parabacteroides	0.00713198457651	0.00625651153238	0.00640905255095	0.0035002886836	0.0211889170061	0.0228948629909	0.0
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Porphyromonas	7.78280777762e-05	5.44044481077e-06	9.84115554848e-06	3.60854503464e-05	4.07231866394e-05	0.000174314725236	0.000223386035891
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Porphyromonadaceae;g:Tannerella	1.97390052331e-06	0.0	0.0	0.0	0.0	0.0	0.0
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Prevotellaceae;Other	0.000805633399299	0.0	0.0	0.0	0.0	0.0	0.0
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Prevotellaceae;g:Alloprevotella	0.00102530032896	0.00222786215001	0.00155872969271	0.0	2.21476979968e-05	0.0	0.00115416118544
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Prevotellaceae;g:Paraprevotella	0.00528102985722	0.000274742462944	4.86590468786e-05	0.0	0.00208617026293	0.00349546896395	0.0
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Prevotellaceae;g:Prevotella	0.0905425350184	0.430669691554	0.0265385894945	0.00178021555042	0.0345468366657	0.000346335835667	0.0807044106332
d:Bacteria;p:Bacteroidetes;c:Bacteroidia;o:Bacteroidales;f:Rikenellaceae;g:Alistipes	0.0200190171216	0.00779751752503	0.0160167540206	0.0014795034642	0.0186483617133	0.00846573224799	0.0171262627516
d:Bacteria;p:Bacteroidetes;c:Cytophagia;o:Cytophagales;f:Cytophagaceae;Other	0.0	0.0	1.36682715951e-06	0.0	0.0	0.0	0.0
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae;Other	8.45957367133e-07	0.0	8.20096295707e-07	0.0	0.0	0.0	0.0
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae;g:Capnocytophaga	1.69191473427e-06	0.0	2.73365431902e-06	0.0	0.0	4.58722961148e-06	0.0
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae;g:Cloacibacterium	0.0	0.0	2.73365431902e-07	0.0	0.0	1.60553036402e-05	0.0
d:Bacteria;p:Bacteroidetes;c:Flavobacteriia;o:Flavobacteriales;f:Flavobacteriaceae;g:Cruoricaptor	0.0	0.0	0.0	0.0	0.0	1.60553036402e-05	0.0
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Chitinophagaceae;g:Hydrotalea	2.81985789044e-07	0.0	6.83413579756e-06	0.0	0.0	2.29361480574e-06	0.0
d:Bacteria;p:Bacteroidetes;c:Sphingobacteriia;o:Sphingobacteriales;f:Sphingobacteriaceae;g:Pedobacter	0.0	0.0	1.09346172761e-06	0.0	0.0	7.1102058978e-05	0.0
d:Bacteria;p:Cyanobacteria/Chloroplast;c:Chloroplast;f:Chloroplast;g:Streptophyta;Other	4.17338967785e-05	1.63213344323e-05	6.09604913142e-05	0.0	8.85907919874e-05	1.60553036402e-05	2.48206706545e-05
d:Bacteria;p:Firmicutes;Other;Other;Other;Other	0.00538790247127	0.000300584575795	0.00746588331069	0.0	0.00519827905242	0.000511476101681	0.00713594281317
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae_1;Other	1.40992894522e-06	0.0	0.0	0.0	0.0	0.0	0.0
d:Bacteria;p:Firmicutes;c:Bacilli;o:Bacillales;f:Bacillaceae_1;g:Bacillus	2.81985789044e-07	0.0	2.18692345522e-06	0.0	0.0	0.000291289080329	2.48206706545e-05
