# Constructed from biom file
#OTU ID	African_American	Asian	Caucasian	Caucasian/African American	Hispanic_Latino	Multi_racial	NA
d:Archaea;p:Euryarchaeota	0.000520545766576	1.63213344323e-05	0.000828570624096	0.0	0.00174395260678	0.0	0.00152647124525
d:Bacteria;Other	0.00299384312228	0.000114249341026	0.00190891081097	0.0	0.00354720388885	0.000126148814316	0.0261113455286
d:Bacteria;p:Actinobacteria	0.0368335477365	0.015439982373	0.0325151779322	0.0348826020015	0.0646477015691	0.018195246254	0.00794261460945
d:Bacteria;p:Bacteroidetes	0.348561223909	0.679141606618	0.265732522313	0.682279638183	0.502834190902	0.161475069554	0.17443967336
d:Bacteria;p:Cyanobacteria/Chloroplast	4.17338967785e-05	1.63213344323e-05	6.09604913142e-05	0.0	8.85907919874e-05	1.60553036402e-05	2.48206706545e-05
d:Bacteria;p:Firmicutes	0.525662116732	0.252227182094	0.591056248491	0.0994875866051	0.338051745596	0.535618691126	0.782037280647
d:Bacteria;p:Fusobacteria	0.000109692471938	0.0	0.00707114362702	0.00132313317937	0.0274867220978	7.33956737838e-05	0.0001365136886
d:Bacteria;p:Gemmatimonadetes	0.0	0.0	0.0	0.0	0.0	1.37616888345e-05	0.0
d:Bacteria;p:Lentisphaerae	1.40992894522e-05	0.0	3.85445258982e-05	0.0	0.0	0.0	7.44620119636e-05
d:Bacteria;p:Parcubacteria	0.0	0.0	2.18692345522e-06	0.0	0.0	0.0	0.0
d:Bacteria;p:Proteobacteria	0.0619621473556	0.0317803583621	0.023341307403	0.182027040031	0.0328507516643	0.233416591551	0.00318945617911
d:Bacteria;p:Spirochaetes	0.0	0.0	1.09346172761e-06	0.0	0.0	0.0	0.0
d:Bacteria;p:Synergistetes	0.000169755445005	0.0	8.74769382088e-06	0.0	0.000431522890003	0.0	0.0
d:Bacteria;p:Tenericutes	0.0	0.0	8.72035727768e-05	0.0	0.0	0.0	0.0
d:Bacteria;p:Verrucomicrobia	0.0231312942753	0.0212639785429	0.0773473821296	0.0	0.0283176179936	0.051065040035	0.00451736205912
